frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1757710207.055298110","0.000816749","196.42.104.243","87.248.114.12"
"1757710207.065239669","0.000039987","196.42.104.243","87.248.114.12"
"1757710207.065796917","0.000006133","196.42.104.243","87.248.114.12"
"1757710207.077757878","0.000028255","196.42.104.243","87.248.114.11"
"1757710207.077770414","0.000040601","196.42.104.243","87.248.114.11"
"1757710207.163236361","0.149476421","87.248.114.12","196.42.104.243"
"1757710207.163594423","0.149736194","87.248.114.12","196.42.104.243"
"1757710207.163629710","0.000035287","196.42.104.243","87.248.114.12"
"1757710207.164113025","0.149861776","87.248.114.12","196.42.104.243"
"1757710207.164143076","0.000030051","196.42.104.243","87.248.114.12"
"1757710207.166515963","0.000026806","196.42.104.243","87.248.114.12"
"1757710207.166631363","0.000141985","196.42.104.243","87.248.114.12"
"1757710207.172081273","0.007273186","87.248.114.12","196.42.104.243"
"1757710207.172342537","0.000169007","196.42.104.243","87.248.114.12"
"1757710207.172523062","0.006787505","87.248.114.12","196.42.104.243"
"1757710207.176711691","0.000041994","196.42.104.243","87.248.114.12"
"1757710207.185138371","0.000041772","196.42.104.243","87.248.114.12"
"1757710207.185357211","0.000259946","196.42.104.243","87.248.114.12"
"1757710207.187488298","0.000060090","196.42.104.243","87.248.114.12"
"1757710207.187623203","0.000194565","196.42.104.243","87.248.114.12"
"1757710207.212165642","0.151876988","87.248.114.11","196.42.104.243"
"1757710207.218508244","0.150795982","87.248.114.12","196.42.104.243"
"1757710207.218508560","0.150005830","87.248.114.12","196.42.104.243"
"1757710207.219173580","0.000664999","196.42.104.243","87.248.114.12"
"1757710207.227330349","0.150147240","87.248.114.11","196.42.104.243"
"1757710207.230346685","0.150803635","87.248.114.11","196.42.104.243"
"1757710207.230346961","0.150382321","87.248.114.11","196.42.104.243"
"1757710207.230967732","0.000620754","196.42.104.243","87.248.114.11"
"1757710207.238781487","0.000025379","196.42.104.243","87.248.114.11"
"1757710207.243537320","0.152162127","87.248.114.11","196.42.104.243"
"1757710207.253777476","0.000043326","196.42.104.243","87.248.114.11"
"1757710207.264743880","0.000059589","196.42.104.243","87.248.114.11"
"1757710207.316576698","0.000045535","196.42.104.243","87.248.114.12"
"1757710207.318091147","0.000029309","196.42.104.243","87.248.114.12"
"1757710207.348341620","0.151734841","87.248.114.12","196.42.104.243"
"1757710207.363532186","0.015190566","196.42.104.243","87.248.114.12"
"1757710207.467334182","0.149920492","87.248.114.12","196.42.104.243"
